Meltemi_Instruct_16shot,Representative_Docs,topic,stance,rouge1_score,f1_bertscore
Οι ΗΠΑ αντιμετωπίζουν σοβαρά κοινωνικά και οικονομικά προβλήματα,"['η κατάσταση αγωνίας που βιώνουν πολλές από τις μεγάλες πόλεις των ΗΠΑ έρχεται σε αντίθεση με την ποιότητα ζωής. Οι νόμοι, σε ορισμένες άκαμπτες περιπτώσεις, στρέφονται εναντίον των απλών πολιτών.', 'Οι ΗΠΑ δεν είναι ένα καλό μέρος για να ζει κανείς, λόγω της μεγάλης ψαλίδας μεταξύ πλούσιων και φτωχών. Οι φτωχότεροι της κοινωνίας δεν έχουν πρόσβαση ούτε σε καλή υγειονομική περίθαλψη, ούτε σε επαρκές σύστημα παροχών.', 'Οι ΗΠΑ προβάλλουν την εικόνα μιας επιτυχημένης ζωής για τους πολίτες τους, αλλά υπάρχει τεράστιο ποσοστό φτώχειας, έλλειψη καλά αμειβόμενων θέσεων εργασίας και κυρίως προκατάληψη απέναντι στις διάφορες εθνοκότητες.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.23529411764705882,0.8042846918106079
Οι Ηνωμένες Πολιτείες έχουν ένα ιστορικό φυλετικών διακρίσεων,"['Οι Ηνωμένες Πολιτείες υπήρξαν για χρόνια κοιτίδα ρατσισμού κατά των πολιτισμών των μειονοτήτων', 'αντιθέτως, δεν την προτείνω για τους ξένους της Λατινικής Αμερικής, υπάρχει πολύς ρατσισμός', 'Αν έχεις σκούρο δέρμα ή είσαι Λατίνος, οι ευκαιρίες σου μειώνονται στο ελάχιστο. Θεωρώ ότι υπάρχουν άλλες χώρες όπως για παράδειγμα, οι χώρες της Ευρώπης. Η Αμερική δεν είναι το άπιαστο όνειρο.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.11764705882352941,0.8143470883369446
Διακρίσεις στην αγορά εργασίας,"['σε ορισμένα μέρη δεν σου δίνεται η ευκαιρία να εργαστείς, απλά και μόνο επειδή είσαι μετανάστης ή έγχρωμος', 'Είμαστε ένα έθνος που έχει γεμίσει με νόμιμους και παράνομους μετανάστες οι οποίοι αναζητούν ευκαιρίες, γεγονός που προκαλεί έντονο ανταγωνισμό', 'Στην χώρα αυτή αντιμετωπίζει κανείς πολλές διακρίσεις σε όλους τους τομείς, και αυτό το θέμα της εργασίας επηρεάζει πολύ τους πολίτες. Οπότε παραμένει υπό αμφισβήτηση το αν είναι μια καλή χώρα για να ζει κανείς ή όχι.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.0,0.7724107503890991
Η εγκληματικότητα στις ΗΠΑ είναι ένα σημαντικό πρόβλημα,"['σε ορισμένες πολιτείες εξακολουθούν να υπάρχουν πολλές ληστείες και εγκλήματα στα οποία εμπλέκονται αθώοι άνθρωποι', 'πρόσφατα προέκυψαν πολλά πολιτικά προβλήματα, τα οποία, πολύ φοβάμαι, θα δυσκολέψουν τη ζωή εκεί, συν το ότι κάποιες περιοχές δεν έχουν την πρέπουσα προσοχή από την κυβέρνηση', 'Οι ΗΠΑ δεν είναι πλέον ένα καλό μέρος για να ζει κανείς. Έχουν γίνει ένα καταφύγιο για πρόσφυγες, μια χώρα κοινωνικών υπηρεσιών και ένα μέρος όπου οι εγκληματίες έχουν περισσότερα δικαιώματα από τους νομοταγείς πολίτες.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.25,0.7730885148048401
Η υγειονομική περίθαλψη και η εκπαίδευση είναι πολύ ακριβές στις ΗΠΑ,"['υπάρχει πολύ υψηλό ποσοστό ανεργίας και οι υπηρεσίες είναι πολύ ακριβές', 'η υγειονομική περίθαλψη και η εκπαίδευση είναι υπερβολικά ακριβές για τη μεσαία τάξη', 'Είναι πολύ δύσκολο να ζει κανείς στις ΗΠΑ, διότι το κόστος ζωής είναι πολύ υψηλό και ακόμη και μια επίσκεψη στον γιατρό μπορεί να είναι εξαιρετικά δαπανηρή']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.2222222222222222,0.7779853343963623
Το σύστημα υγείας των ΗΠΑ είναι πολύ ακριβό και δημιουργεί διακρίσεις,"['στις ΗΠΑ το σύστημα υγείας είναι πολύ ακριβό και δημιουργεί διακρίσεις εις βάρος του φτωχού πληθυσμού', 'Υπάρχει μεγάλη φτώχεια στις ΗΠΑ και δεν έχουν καλό σύστημα υγειονομικής περίθαλψης, οι άνθρωποι πολύ συχνά δεν μπορούν να πληρώσουν ακόμη και για τη βασική υγειονομική περίθαλψη', 'Οι Ηνωμένες Πολιτείες κατατάσσονται πλέον μεταξύ των χειρότερων τόπων στον κόσμο για να μετακομίσει κανείς, λόγω της ραγδαίας αύξησης του κόστους διαβίωσης, της υγειονομικής περίθαλψης και της βασικής εκπαίδευσης.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.19999999999999998,0.8179853558540344
Οι ΗΠΑ είναι η καλύτερη χώρα για να ζει κανείς λόγω της πολυπολιτισμικότητας των ευκαιριών και της φυσικής ομορφιάς,"['Οι ΗΠΑ αντιπροσωπεύουν ένα ευρύ φάσμα πολιτισμών και γλωσσών, προσφέροντας διαφορετικές οπτικές και, φυσικά, νόστιμο φαγητό', 'Οι Ηνωμένες Πολιτείες ξεχωρίζουν ως η καλύτερη χώρα για να ζει κανείς, λόγω της πρόσβασης στην εκπαίδευση, της κοινωνικοοικονομικής ευημερίας και της ποιότητας ζωής γενικότερα, μεταξύ άλλων παραγόντων.', 'Καταρχάς, οι Ηνωμένες Πολιτείες είναι μια τόσο μεγάλη χώρα και μεγάλη χώρα σημαίνει περισσότερη γη. Περισσότερη γη σημαίνει περισσότερη φυσική ομορφιά, την οποία μπορείτε να απολαύσετε απλά οδηγώντας έξω από την πόλη για περίπου μία ή δύο ώρες.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.5925925925925926,0.8446764945983887
Η Αμερική είναι μια χώρα με πολλές ευκαιρίες για ανάπτυξη,"['Προσωπικά πιστεύω ότι είναι μια χώρα που προσφέρει μεγάλες ευκαιρίες.', 'Η Αμερική είναι μια χώρα με πολλές ευκαιρίες για ανάπτυξη. Είμαστε ένα ισχυρό έθνος που ενώνεται κάτω από τους ναούς στους οποίους ιδρύθηκε', 'Προσωπικά πιστεύω ότι είναι μια χώρα που προσφέρει μεγάλες ευκαιρίες και καλύτερη ποιότητα ζωής']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.3333333333333333,0.8376461267471313
Οι ΗΠΑ ως παγκόσμια δύναμη ενθαρρύνουν τη μετανάστευση,"['Οι ΗΠΑ είναι το αμερικανικό όνειρο γιατί είναι η παγκόσμια δύναμη, και εκεί όλες οι τεχνολογίες βρίσκονται στο αποκορύφωμά τους', 'Οι ΗΠΑ είναι το αμερικάνικο όνειρο, επειδή είναι η παγκόσμια δύναμη, στην οποία όλες οι τεχνολογίες βρίσκονται στο αποκορύφωμά τους. Αυτό όμως ενθαρρύνει πολλούς ανθρώπους με ανάγκες να μεταναστεύσουν εκεί και να γίνονται ένα μεγάλο βάρος για την κοινωνία', 'Οι ΗΠΑ είναι το αμερικανικό όνειρο γιατί είναι η παγκόσμια δύναμη, και εκεί όλες οι τεχνολογίες βρίσκονται στο αποκορύφωμά τους και παρέχονται ίσες ευκαιρίες']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.23529411764705882,0.8092541098594666
Οι Ηνωμένες Πολιτείες προσφέρουν ευκαιρίες για εξέλιξη,"['στις ΗΠΑ έχεις υγεία και ασφάλεια και μπορείς, αν δουλέψεις, να βγάλεις έναν αξιοπρεπή μισθό', 'Οι Ηνωμένες Πολιτείες σου προσφέρουν την ευκαιρία να έχεις μια σταθερή δουλειά με εξαιρετικό μισθό και ένα καλό περιβάλλον για να ζήσεις', 'Αυτό συναντάται πιο συχνά σε ανθρώπους από τη Λατινική Αμερική, που ψάχνουν ένα μέρος για να βρουν ευκαιρίες εργασίας και επιτυχία. Επίσης, δεδομένης της απόστασης, είναι μια πιο ελκυστική επιλογή.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.125,0.8114632964134216
Το Αμερικανικό Όνειρο,"['Κάντε το αμερικανικό όνειρο για ισότητα, ελευθερία έκφρασης και ποιότητα ζωής πραγματικότητα.', 'Η Αμερική είναι ένα ελεύθερο έθνος όπου δουλεύοντας σκληρά, μπορείς να ζήσεις το Αμερικανικό όνειρο', 'Για κάποιον λόγο, την αποκαλούν τη χώρα των ονείρων, όπου πρέπει να κοπιάσεις για να πετύχεις και να ζήσεις το Αμερικανικό Όνειρο,η χώρα της ελευθερίας και των ελεύθερων ανθρώπων, όπου όλοι οι άνθρωποι είναι ίσοι.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.0,0.7522333860397339
Οι ΗΠΑ είναι μια ποικιλόμορφη χώρα,"['Οι ΗΠΑ έχουν μια πολυπολιτισμική κοινωνία.', 'Οι ΗΠΑ προσφέρουν άφθονες αχανείς εκτάσεις γης, άγρια φύση και όμορφα τοπία.', 'Εκτός από την ποικιλομορφία των ανθρώπων, οι Ηνωμένες Πολιτείες διαθέτουν και ένα ποικίλο φυσικό τοπίο']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.6666666666666667,0.8656527400016785
Τα εμβόλια μπορεί να είναι επιβλαβή για τα παιδιά,"['Ένα εμβόλιο, το οποίο δεν έχει ελεγχθεί επαρκώς και του οποίου οι επιπτώσεις δεν είναι γνωστές, δεν ενδείκνυται για τα παιδιά', 'το εμβόλιο μπορεί να είναι επιβλαβές για τα παιδιά, εαν δεν γίνει σαφές, ότι πρέπει να τους δοθεί η απαραίτητη φροντίδα', 'Προς το παρόν δεν υπάρχει κανένα εχέγγυο για τις επιπτώσεις των εμβολίων και γι αυτόν τον λόγο θεωρείται ότι ο εξαναγκασμός των παιδιών να εμβολιαστούν μπορεί να αποτελέσει μακροπρόθεσμο πρόβλημα']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1,0.2222222222222222,0.8445621728897095
Η υποχρεωτικότητα των εμβολιασμών παραβιάζει τα δικαιώματα των γονέων,"['Αν επιβληθεί στους γονείς να εμβολιάσουν τα παιδιά τους, τότε θα ξεσπάσει ένα μεγάλο κύμα διαμαρτυρόμενων, στο οποίο ο καθένας θα διεκδικεί τα δικαιώματά του', 'Καθένας είναι ελεύθερος να επιλέγει, αν θα εμβολιάσει το παιδί του ή όχι. Η επιβολή ενός εμβολιασμού παραβιάζει τα δικαιώματα των γονέων να αποφασίζουν για την ανατροφή και την φροντίδα των παιδιών τους', 'Οι γονείς θα πρέπει να είναι σε θέση να επιλέξουν αν τα παιδιά τους θα εμβολιαστούν. Η κατάργηση της ελευθερίας επιλογής αποτελεί σαφή παραβίαση των ανθρωπίνων δικαιωμάτων.']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1,0.11764705882352941,0.8589792847633362
Ο εμβολιασμός μπορεί να έχει απρόβλεπτες παρενέργειες,"['μπορεί να δημιουργηθεί μια χημική αντίδραση που έχει επίδραση στα νέα παιδιά', 'μπορεί να έχει αρνητικές παρενέργειες στην υγεία σας και να προκαλέσει σωματικές και ψυχολογικές αλλαγές', 'Δεν πιστεύω ότι ένα σκεύασμα που χορηγείται στο χέρι του παιδιού μου μπορεί να το προστατεύσει. Υπάρχει κίνδυνος σοβαρής αντίδρασης ή ακόμη και θανάτου. Εγώ ως γονέας πρέπει να αποφασίσω.']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1,0.26666666666666666,0.8543946743011475
Η προσωπική αυτονομία είναι πιο σημαντική από τους κυβερνητικούς κανονισμούς,"['Δεν είναι υποχρεωτικό, γιατί είναι μια πολύ προσωπική απόφαση, που δεν γίνεται να επιβληθεί σε κανέναν', 'Πρέπει να είναι προσωπική απόφαση και όχι απόφαση κυβερνήσεων ή εταιρειών', 'Όχι, θα εμποδίσουν την ελεύθερη βούληση και την δυνατότητα λήψης αποφάσεων']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1,0.1111111111111111,0.8278482556343079
Οι γονείς θα πρέπει να είναι υπεύθυνοι για την απόφαση να εμβολιάσουν τα παιδιά τους,"['Οι γονείς που συμφωνούν με τη χρήση εμβολίων θα πρέπει να πάρουν την καλύτερη απόφαση για τα βρέφη τους να τα εμβολιάσουν όταν χρειαστεί και στην κατάλληλη ηλικία για την αποφυγή ασθενειών', 'Θα πρέπει να επιτρέπεται στους γονείς να επιλέξουν αν το παιδί τους θα εμβολιαστεί ή όχι. Πολλοί έχουν την αίσθηση ότι οι εμβολιασμοί φέρουν ρίσκο για σοβαρές επιπτώσεις, συμπεριλαμβανομένου και του θανάτου και γι αυτό θέλουν να τους αποφύγουν για τα παιδιά τους.', 'υπευθυνότητα είναι να ζούμε με περισσότερη προσοχή κατά τις φάσεις που διενεργούνται εμβολιασμοί, ξέροντας όμως ότι, όταν οι γονείς πάρουν την απόφαση και δεν θέλουν να εμβολιάσουν τα παιδιά τους, αυτό θα πρέπει να γίνει σεβαστό']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1,0.4166666666666667,0.8680191040039062
Η φροντίδα των παιδιών είναι ευθύνη των γονέων,"['Οι γονείς του παιδιού είναι αυτοί που πρέπει να αποφασίσουν τί είναι καλύτερο για το παιδί τους', 'η φροντίδα των παιδιών είναι ευθύνη των γονέων και αποτελεί θέμα συνείδησης', 'με αυτή την έννοια, κάθε άνθρωπος είναι ήδη υπεύθυνος για την ανατροφή των παιδιών του και δεν καταλαβαίνω, γιατί πρέπει να εξαναγκαστεί']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1,0.125,0.8388403654098511
Τα εμβόλια θα πρέπει να είναι υποχρεωτικά για την προστασία των παιδιών,"['Τα εμβόλια θα πρέπει να αποτελούν υποχρεωτική πολιτική, ώστε τα παιδιά να μην υποφέρουν από αυτά τα προβλήματα του κορωνοϊού στο μέλλον', 'Οι γονείς δεν γνωρίζουν πάντα το καλύτερο και η αποτυχία εμβολιασμού μπορεί να είναι καταστροφική για ένα παιδί: από απώλεια άκρων μέχρι μηνιγγίτιδα, προβλήματα όρασης και ακοής, ιλαρά και μερικές φορές ακόμη και θάνατο.', 'Τα εμβόλια πρέπει να είναι υποχρεωτικά για τα παιδιά, διότι με αυτόν τον τρόπο προλαμβάνουμε μεταγενέστερες ασθένειες στα βρέφη, γεγονός που βοηθά στην καλή ανάπτυξή τους']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1,0.380952380952381,0.8825784921646118
Τα εμβόλια σώζουν ζωές,"['Όταν τα εμβόλια καταπολεμούν την ασθένεια, οι γονείς είναι λιγότερο πιθανό να γίνουν μάρτυρες των καταστροφικών συνεπειών που έχουν λοιμώδεις ασθένειες, οι οποίες μπορούν να προληφθούν με το εμβόλιο εκ των προτέρων.', 'Ο εμβολιασμός των παιδιών σώζει ζωές και προστατεύει τα παιδιά από ασθένειες που μπορούν να προληφθούν. Αυτό μπορεί να βοηθήσει ένα άτομο στην ενήλικη ζωή του με το να μην έχει επιπλοκές από ασθένειες όπως η ανεμοβλογιά, η παρωτίτιδα, η πολιομυελίτιδα και άλλες.', 'Τα εμβόλια έχουν αποδειχθεί αποτελεσματικά εργαλεία για τον έλεγχο και την εξάλειψη απειλητικών για τη ζωή μολυσματικών ασθενειών και εκτιμάται ότι αποφεύγονται έως εκατομμύρια θάνατοι κάθε χρόνο.']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1,0.0,0.8048928380012512
Ο εμβολιασμός του παιδικού πληθυσμού είναι κρίσιμος για την πρόληψη της εξάπλωσης μολυσματικών ασθενειών,"['Ο παιδικός πληθυσμός έχει χαμηλό βαθμό ευπάθειας, αλλά τα νέα στελέχη του ιού είναι πιο θανατηφόρα. Οπότε ο άμεσος εμβολιασμός είναι επίσης σημαντικός.', 'Ο εμβολιασμός του παιδικού πληθυσμού θα πρέπει επίσης να είναι πολύ σημαντικός, δεδομένου ότι τα νέα στελέχη του ιού είναι πιο θανατηφόρα και το ηλικιακό όριο ευπάθειας έχει μειωθεί.', 'Στις πολιτείες των ΗΠΑ με τους αυστηρότερους νόμους, τα ποσοστά του κοκκύτη και της ιλαράς είναι σημαντικά χαμηλότερα, γεγονός που υποδηλώνει ότι, αν οι εξαιρέσεις είναι πιο σπάνιες, τότε ο υποχρεωτικός εμβολιασμός μπορεί να είναι πιο αποτελεσματικός.']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1,0.18181818181818185,0.8466511964797974
Τα εμβόλια βοηθούν στην προστασία από ασθένειες,"['το εμβόλιο παρέχει ανοσία στους ανθρώπους και αποτρέπει την προσβολή από ασθένειες', 'με αυτό πετυχαίνουμε ανοσία στο ανοσολογικό σύστημα έναντι ιογενών ασθενειών', 'Τα εμβόλια θα βοηθήσουν τον οργανισμό να προετοιμαστεί για αντοχή στον ιό και για να μην αρρωσταίνει εύκολα']",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1,0.0,0.8256402015686035
Η παρέμβαση του κράτους στα μέσα κοινωνικής δικτύωσης θα βλάψει την ελευθερία του λόγου,"['Όχι. Το κράτος μετά θα έχει την εξουσία να φιμώνει τους επικριτές της κυβέρνησης. Οι τρόποι αντιμετώπισης της παραπληροφόρησης στα μέσα κοινωνικής δικτύωσης είναι οι ίδιοι που πρέπει να χρησιμοποιούμε σε σχέση με κάθε ανοιχτή διαφωνία', 'Ρυθμίσεις της κυβέρνησης στα μέσα κοινωνικής δικτύωσης θα ήταν επιζήμιες για την ελευθερία του λόγου παγκοσμίως. Πρόκειται άλλωστε για ιδιωτικές εταιρείες που θα πρέπει να έχουν τη δυνατότητα να τρέχουν τις διαδικασίες τους όπως αυτοί επιθυμούν.', 'Έχουν πολύ μεγάλη εξουσία πάνω στις ζωές των ανθρώπων και λογοκρίνουν όλους όσους διαφωνούν με το τρέχον θέμα της ημέρας. Λογοκρίνουν επίσης την ελευθερία του λόγου και χειραγωγούν τις τάσεις, κλέβοντας δεδομένα από τους χρήστες.']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1,0.33333333333333337,0.8719919323921204
Ανησυχίες για την ιδιωτικότητα και την κυβερνητική επιτήρηση,"['πιστεύω θα ήταν εύκολο για την κυβέρνηση να αποσπάσει πληροφορίες μας και να μας κατασκοπεύει. Οπότε όχι, δεν θα το ήθελα αυτό', 'Δεν συμφωνώ, γιατί η κυβέρνηση είναι πολύ διεφθαρμένη και θα μπορούσε να το εκμεταλλευτεί αυτό, για να επωφεληθεί σε πολλούς τομείς', 'υπάρχουν άνθρωποι που έχουν κακή εντύπωση για την κυβέρνηση, και θα αποκτήσουν χειρότερη εντύπωση, εάν αυτή τους παρακολουθεί']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1,0.10526315789473685,0.8429763913154602
Τα κοινωνικά δίκτυα είναι ιδιωτικές εταιρείες και θα πρέπει να έχουν το δικαίωμα να αποκλείουν χρήστες και περιεχόμενο,"['εφόσον τα κοινωνικά δίκτυα είναι ιδιωτικές εταιρείες, στις οποίες δεν πρέπει να παρέμβουν, τότε να μην το κάνουν', 'Δεν θα έπρεπε, οι πλατφόρμες είναι ιδιωτικές εταιρείες, αυτό που θα ΄πρεπε να γίνει, είναι να υπάρχει έλεγχος στο περιεχόμενο που δημοσιεύεται', 'Οι εταιρείες των μέσων κοινωνικής δικτύωσης είναι ιδιωτικές εταιρείες με το δικαίωμα της Πρώτης Τροπολογίας να αποκλείουν από τις πλατφόρμες τους οποιονδήποτε και για οποιονδήποτε λόγο.']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1,0.20689655172413793,0.8527677655220032
Η παρακολούθηση θα παραβίαζε την ελευθερία έκφρασης,"['Όχι, αυτό θα ήταν μια άμεση επίθεση στην ελευθερία έκφρασης', 'όμως πολλοί θα ένιωθαν ότι χάνουν την ιδιωτικότητά τους και την ελευθερία έκφρασής τους', 'Αυτό θα αποτελούσε κατάχρηση της ακεραιότητας και της ελευθερίας έκφρασης όλων των ανθρώπων']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1,0.23529411764705885,0.8336086869239807
Η ρύθμιση των μέσων κοινωνικής δικτύωσης είναι απαραίτητη για την προστασία των δικαιωμάτων και της ιδιωτικότητας των χρηστών,"['Μη ρυθμίζοντας τα κοινωνικά δίκτυα, δίνουμε ένα εργαλείο στους χρήστες να παραβιάζουν το δικαίωμα στην τιμή, την εικόνα, την φήμη μας και τους παρέχουμε ένα μέσο για παραβατική συμπεριφορά.', 'Υπάρχουν πολλά βασικά οφέλη που μπορούν να επιτύχουν τα μέσα κοινωνικής δικτύωσης στην κυβέρνηση, συμπεριλαμβάνοντας και τον ρόλο των μέσων κοινωνικής δικτύωσης για δημιουργία ευαισθητοποίησης και σε περιόδους κρίσης', 'Το ερώτημα δεν είναι αν είναι αναγκαία η παρέμβαση, αλλά ποια είναι η φύση της παρέμβασης που απαιτείται, για να διατηρήσουμε τα οφέλη και να αποφύγουμε τις ζημιές, που έχουν επιφέρει οι ψηφιακές πλατφόρμες στον κόσμο.']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1,0.21428571428571427,0.8433997631072998
Τα μέσα κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται για να ελέγχουν τις ψευδείς ειδήσεις,"['Ένας τρόπος να αποφύγουμε τη δημοσιοποίηση ψευδών πληροφοριών είναι να δώσουμε τη δύναμη στο κράτος να ελέγχει τις πληροφορίες που κυκλοφορούν μέσω των κοινωνικών δικτύων', 'κάποιοι δημοσιογράφοι έχουν δημοσιεύσει κατάφωρα ψέματα. Κάποιοι ενθαρρύνουν τις εξεγέρσεις. Η κυβέρνηση πρέπει να αναλάβει την ευθύνη να παρέμβει και να διασφαλίσει ότι οι αναρτήσεις στα μέσα κοινωνικής δικτύωσης είναι ακριβείς.', 'Τα μέσα κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται, επειδή εκεί κυκλοφορούν πολλές ψευδείς ειδήσεις. Για παράδειγμα, κατά τη διάρκεια των εκλογών του , η Ρωσία έβγαλε διαφημίσεις στο Facebook για να προωθήσει την εκλογή του Τραμπ και να διαδώσει ψέματα για τη Χίλαρι.']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1,0.4799999999999999,0.896801233291626
Ρύθμιση του περιεχομένου στα κοινωνικά δίκτυα για την προστασία των παιδιών,"['Μου φαίνεται ότι υπάρχουν συγκεκριμένα πράγματα στα κοινωνικά δίκτυα που θα πρέπει να ρυθμίζονται νομικά, όπως, μεταξύ άλλων, σελίδες που προωθούν την ανορεξία, τις αυτοκτονίες', 'Πρέπει να υπάρχει ρύθμιση του περιεχομένου στα κοινωνικά δίκτυα, ώστε να αποφεύγεται και να τιμωρείται το ψευδές περιεχόμενο και οι φάρσες που βλάπτουν τον πληθυσμό', 'θα πρέπει να ρυθμίσουν τα κοινωνικά δίκτυα , γιατί τα παιδιά μας μολύνουν το μυαλό τους με περιεχόμενο για ενήλικες,βίαια παιχνίδια,υποσυνείδητα μηνύματα. ΟΧΙ στα κοινωνικά δίκτυα']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1,0.09090909090909091,0.852443277835846
Τα κοινωνικά δίκτυα έχουν γίνει το πρώτο μέσο επικοινωνίας για αυτόν τον λόγο υπάρχει ανάγκη να ρυθμιστούν και να νομοθετηθούν από την ίδια την κυβέρνηση,"['Τα κοινωνικά δίκτυα έχουν γίνει ένα εξαιρετικά σημαντικό μέσο επικοινωνίας, με αποτέλεσμα η κυβέρνηση να τα ρυθμίζει και να θέτει νόμους για αυτά.', 'Τα κοινωνικά δίκτυα έχουν γίνει το πρώτο μέσο επικοινωνίας, για αυτόν τον λόγο υπάρχει ανάγκη να ρυθμιστούν και να νομοθετηθούν από την ίδια την κυβέρνηση, χωρίς όμως να υποβιβαστεί η ελευθερία έκφρασης', 'Τα κοινωνικά δίκτυα έχουν γίνει ένα εξαιρετικά σημαντικό μέσο επικοινωνίας, με αποτέλεσμα η κυβέρνηση να τα ρυθμίζει και να θέτει νόμους για αυτά, χωρίς όμως να στερεί την ελευθερία της έκφρασης.']",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1,0.2222222222222222,0.8678497672080994
